season,game_id,team,opponent,home_away,results,game_end,final_G,final_GA,matchup,venue,date,time,pbp_rows,shifts_rows
20232024,2023020001,TBL,NSH,HOME,W,REG,5,3,NSH@TBL,Amalie Arena,2023-10-10 00:00:00,05:30 PM,328,N/A
20232024,2023020001,NSH,TBL,AWAY,L,REG,3,5,NSH@TBL,Amalie Arena,2023-10-10 00:00:00,05:30 PM,328,N/A
20232024,2023020002,PIT,CHI,HOME,L,REG,2,4,CHI@PIT,PPG Paints Arena,2023-10-10 00:00:00,08:00 PM,337,N/A
20232024,2023020002,CHI,PIT,AWAY,W,REG,4,2,CHI@PIT,PPG Paints Arena,2023-10-10 00:00:00,08:00 PM,337,N/A
20232024,2023020003,VGK,SEA,HOME,W,REG,4,1,SEA@VGK,T-Mobile Arena,2023-10-10 00:00:00,10:30 PM,331,N/A
20232024,2023020003,SEA,VGK,AWAY,L,REG,1,4,SEA@VGK,T-Mobile Arena,2023-10-10 00:00:00,10:30 PM,331,N/A
20232024,2023020004,CAR,OTT,HOME,W,REG,5,3,OTT@CAR,PNC Arena,2023-10-11 00:00:00,07:00 PM,354,N/A
20232024,2023020004,OTT,CAR,AWAY,L,REG,3,5,OTT@CAR,PNC Arena,2023-10-11 00:00:00,07:00 PM,354,N/A
20232024,2023020005,TOR,MTL,HOME,W,SO,6,5,MTL@TOR,Scotiabank Arena,2023-10-11 00:00:00,07:00 PM,365,N/A
20232024,2023020005,MTL,TOR,AWAY,SOL,SO,5,6,MTL@TOR,Scotiabank Arena,2023-10-11 00:00:00,07:00 PM,365,N/A
20232024,2023020006,BOS,CHI,HOME,W,REG,3,1,CHI@BOS,TD Garden,2023-10-11 00:00:00,07:30 PM,303,N/A
20232024,2023020006,CHI,BOS,AWAY,L,REG,1,3,CHI@BOS,TD Garden,2023-10-11 00:00:00,07:30 PM,303,N/A
20232024,2023020007,CGY,WPG,HOME,W,REG,5,3,WPG@CGY,Scotiabank Saddledome,2023-10-11 00:00:00,10:00 PM,363,N/A
20232024,2023020007,WPG,CGY,AWAY,L,REG,3,5,WPG@CGY,Scotiabank Saddledome,2023-10-11 00:00:00,10:00 PM,363,N/A
20232024,2023020008,LAK,COL,HOME,L,REG,2,5,COL@LAK,Crypto.com Arena,2023-10-11 00:00:00,10:00 PM,345,N/A
20232024,2023020008,COL,LAK,AWAY,W,REG,5,2,COL@LAK,Crypto.com Arena,2023-10-11 00:00:00,10:00 PM,345,N/A
20232024,2023020009,VAN,EDM,HOME,W,REG,8,1,EDM@VAN,Rogers Arena,2023-10-11 00:00:00,10:00 PM,306,N/A
20232024,2023020009,EDM,VAN,AWAY,L,REG,1,8,EDM@VAN,Rogers Arena,2023-10-11 00:00:00,10:00 PM,306,N/A
20232024,2023020010,BUF,NYR,HOME,L,REG,1,5,NYR@BUF,KeyBank Center,2023-10-12 00:00:00,07:00 PM,309,N/A
20232024,2023020010,NYR,BUF,AWAY,W,REG,5,1,NYR@BUF,KeyBank Center,2023-10-12 00:00:00,07:00 PM,309,N/A
20232024,2023020011,CBJ,PHI,HOME,L,REG,2,4,PHI@CBJ,Nationwide Arena,2023-10-12 00:00:00,07:00 PM,320,N/A
20232024,2023020011,PHI,CBJ,AWAY,W,REG,4,2,PHI@CBJ,Nationwide Arena,2023-10-12 00:00:00,07:00 PM,320,N/A
20232024,2023020012,NJD,DET,HOME,W,REG,4,3,DET@NJD,Prudential Center,2023-10-12 00:00:00,07:30 PM,353,N/A
20232024,2023020012,DET,NJD,AWAY,L,REG,3,4,DET@NJD,Prudential Center,2023-10-12 00:00:00,07:30 PM,353,N/A
20232024,2023020013,DAL,STL,HOME,W,SO,2,1,STL@DAL,American Airlines Center,2023-10-12 00:00:00,08:00 PM,347,N/A
20232024,2023020013,STL,DAL,AWAY,SOL,SO,1,2,STL@DAL,American Airlines Center,2023-10-12 00:00:00,08:00 PM,347,N/A
20232024,2023020014,MIN,FLA,HOME,W,REG,2,0,FLA@MIN,Xcel Energy Center,2023-10-12 00:00:00,08:00 PM,321,N/A
20232024,2023020014,FLA,MIN,AWAY,L,REG,0,2,FLA@MIN,Xcel Energy Center,2023-10-12 00:00:00,08:00 PM,321,N/A
20232024,2023020015,NSH,SEA,HOME,W,REG,3,0,SEA@NSH,Bridgestone Arena,2023-10-12 00:00:00,08:00 PM,326,N/A
20232024,2023020015,SEA,NSH,AWAY,L,REG,0,3,SEA@NSH,Bridgestone Arena,2023-10-12 00:00:00,08:00 PM,326,N/A
20232024,2023020016,SJS,VGK,HOME,L,REG,1,4,VGK@SJS,SAP Center at San Jose,2023-10-12 00:00:00,10:30 PM,297,N/A
20232024,2023020016,VGK,SJS,AWAY,W,REG,4,1,VGK@SJS,SAP Center at San Jose,2023-10-12 00:00:00,10:30 PM,297,N/A
20232024,2023020017,NJD,ARI,HOME,SOL,SO,3,4,ARI@NJD,Prudential Center,2023-10-13 00:00:00,07:00 PM,324,N/A
20232024,2023020017,ARI,NJD,AWAY,W,SO,4,3,ARI@NJD,Prudential Center,2023-10-13 00:00:00,07:00 PM,324,N/A
20232024,2023020018,WSH,PIT,HOME,L,REG,0,4,PIT@WSH,Capital One Arena,2023-10-13 00:00:00,07:30 PM,338,N/A
20232024,2023020018,PIT,WSH,AWAY,W,REG,4,0,PIT@WSH,Capital One Arena,2023-10-13 00:00:00,07:30 PM,338,N/A
20232024,2023020019,OTT,PHI,HOME,W,REG,5,2,PHI@OTT,Canadian Tire Centre,2023-10-14 00:00:00,01:00 PM,312,N/A
20232024,2023020019,PHI,OTT,AWAY,L,REG,2,5,PHI@OTT,Canadian Tire Centre,2023-10-14 00:00:00,01:00 PM,312,N/A
20232024,2023020020,WPG,FLA,HOME,W,REG,6,4,FLA@WPG,Canada Life Centre,2023-10-14 00:00:00,04:00 PM,327,N/A
20232024,2023020020,FLA,WPG,AWAY,L,REG,4,6,FLA@WPG,Canada Life Centre,2023-10-14 00:00:00,04:00 PM,327,N/A
20232024,2023020021,BOS,NSH,HOME,W,REG,3,2,NSH@BOS,TD Garden,2023-10-14 00:00:00,07:00 PM,356,N/A
20232024,2023020021,NSH,BOS,AWAY,L,REG,2,3,NSH@BOS,TD Garden,2023-10-14 00:00:00,07:00 PM,356,N/A
20232024,2023020022,CBJ,NYR,HOME,W,REG,5,3,NYR@CBJ,Nationwide Arena,2023-10-14 00:00:00,07:00 PM,332,N/A
20232024,2023020022,NYR,CBJ,AWAY,L,REG,3,5,NYR@CBJ,Nationwide Arena,2023-10-14 00:00:00,07:00 PM,332,N/A
20232024,2023020023,DET,TBL,HOME,W,REG,6,4,TBL@DET,Little Caesars Arena,2023-10-14 00:00:00,07:00 PM,296,N/A
20232024,2023020023,TBL,DET,AWAY,L,REG,4,6,TBL@DET,Little Caesars Arena,2023-10-14 00:00:00,07:00 PM,296,N/A
20232024,2023020024,MTL,CHI,HOME,W,REG,3,2,CHI@MTL,Centre Bell,2023-10-14 00:00:00,07:00 PM,312,N/A
20232024,2023020024,CHI,MTL,AWAY,L,REG,2,3,CHI@MTL,Centre Bell,2023-10-14 00:00:00,07:00 PM,312,N/A
20232024,2023020025,PIT,CGY,HOME,W,REG,5,2,CGY@PIT,PPG Paints Arena,2023-10-14 00:00:00,07:00 PM,315,N/A
20232024,2023020025,CGY,PIT,AWAY,L,REG,2,5,CGY@PIT,PPG Paints Arena,2023-10-14 00:00:00,07:00 PM,315,N/A
20232024,2023020026,TOR,MIN,HOME,W,REG,7,4,MIN@TOR,Scotiabank Arena,2023-10-14 00:00:00,07:00 PM,361,N/A
20232024,2023020026,MIN,TOR,AWAY,L,REG,4,7,MIN@TOR,Scotiabank Arena,2023-10-14 00:00:00,07:00 PM,361,N/A
20232024,2023020027,NYI,BUF,HOME,W,REG,3,2,BUF@NYI,UBS Arena,2023-10-14 00:00:00,07:30 PM,346,N/A
20232024,2023020027,BUF,NYI,AWAY,L,REG,2,3,BUF@NYI,UBS Arena,2023-10-14 00:00:00,07:30 PM,346,N/A
20232024,2023020028,STL,SEA,HOME,W,SO,2,1,SEA@STL,Enterprise Center,2023-10-14 00:00:00,08:00 PM,327,N/A
20232024,2023020028,SEA,STL,AWAY,SOL,SO,1,2,SEA@STL,Enterprise Center,2023-10-14 00:00:00,08:00 PM,327,N/A
20232024,2023020029,EDM,VAN,HOME,L,REG,3,4,VAN@EDM,Rogers Place,2023-10-14 00:00:00,10:00 PM,372,N/A
20232024,2023020029,VAN,EDM,AWAY,W,REG,4,3,VAN@EDM,Rogers Place,2023-10-14 00:00:00,10:00 PM,372,N/A
20232024,2023020030,SJS,COL,HOME,SOL,SO,1,2,COL@SJS,SAP Center at San Jose,2023-10-14 00:00:00,10:00 PM,386,N/A
20232024,2023020030,COL,SJS,AWAY,W,SO,2,1,COL@SJS,SAP Center at San Jose,2023-10-14 00:00:00,10:00 PM,386,N/A
20232024,2023020031,VGK,ANA,HOME,W,REG,4,1,ANA@VGK,T-Mobile Arena,2023-10-14 00:00:00,10:00 PM,327,N/A
20232024,2023020031,ANA,VGK,AWAY,L,REG,1,4,ANA@VGK,T-Mobile Arena,2023-10-14 00:00:00,10:00 PM,327,N/A
20232024,2023020032,LAK,CAR,HOME,SOL,SO,5,6,CAR@LAK,Crypto.com Arena,2023-10-14 00:00:00,10:30 PM,339,N/A
20232024,2023020032,CAR,LAK,AWAY,W,SO,6,5,CAR@LAK,Crypto.com Arena,2023-10-14 00:00:00,10:30 PM,339,N/A
20232024,2023020033,OTT,TBL,HOME,W,REG,5,2,TBL@OTT,Canadian Tire Centre,2023-10-15 00:00:00,07:00 PM,301,N/A
20232024,2023020033,TBL,OTT,AWAY,L,REG,2,5,TBL@OTT,Canadian Tire Centre,2023-10-15 00:00:00,07:00 PM,301,N/A
20232024,2023020034,ANA,CAR,HOME,W,REG,6,3,CAR@ANA,Honda Center,2023-10-15 00:00:00,08:30 PM,300,N/A
20232024,2023020034,CAR,ANA,AWAY,L,REG,3,6,CAR@ANA,Honda Center,2023-10-15 00:00:00,08:30 PM,300,N/A
20232024,2023020035,CBJ,DET,HOME,L,REG,0,4,DET@CBJ,Nationwide Arena,2023-10-16 00:00:00,07:00 PM,258,N/A
20232024,2023020035,DET,CBJ,AWAY,W,REG,4,0,DET@CBJ,Nationwide Arena,2023-10-16 00:00:00,07:00 PM,258,N/A
20232024,2023020036,NJD,FLA,HOME,L,REG,3,4,FLA@NJD,Prudential Center,2023-10-16 00:00:00,07:00 PM,339,N/A
20232024,2023020036,FLA,NJD,AWAY,W,REG,4,3,FLA@NJD,Prudential Center,2023-10-16 00:00:00,07:00 PM,339,N/A
20232024,2023020037,NYR,ARI,HOME,W,REG,2,1,ARI@NYR,Madison Square Garden,2023-10-16 00:00:00,07:00 PM,303,N/A
20232024,2023020037,ARI,NYR,AWAY,L,REG,1,2,ARI@NYR,Madison Square Garden,2023-10-16 00:00:00,07:00 PM,303,N/A
20232024,2023020038,TOR,CHI,HOME,L,REG,1,4,CHI@TOR,Scotiabank Arena,2023-10-16 00:00:00,07:00 PM,375,N/A
20232024,2023020038,CHI,TOR,AWAY,W,REG,4,1,CHI@TOR,Scotiabank Arena,2023-10-16 00:00:00,07:00 PM,375,N/A
20232024,2023020039,WSH,CGY,HOME,W,SO,3,2,CGY@WSH,Capital One Arena,2023-10-16 00:00:00,07:00 PM,339,N/A
20232024,2023020039,CGY,WSH,AWAY,SOL,SO,2,3,CGY@WSH,Capital One Arena,2023-10-16 00:00:00,07:00 PM,339,N/A
20232024,2023020040,BUF,TBL,HOME,W,OT,3,2,TBL@BUF,KeyBank Center,2023-10-17 00:00:00,07:30 PM,290,N/A
20232024,2023020040,TBL,BUF,AWAY,OTL,OT,2,3,TBL@BUF,KeyBank Center,2023-10-17 00:00:00,07:30 PM,290,N/A
20232024,2023020041,MTL,MIN,HOME,L,REG,2,5,MIN@MTL,Centre Bell,2023-10-17 00:00:00,07:00 PM,317,N/A
20232024,2023020041,MIN,MTL,AWAY,W,REG,5,2,MIN@MTL,Centre Bell,2023-10-17 00:00:00,07:00 PM,317,N/A
